Name,Year Membership
Immanuel Hermreck,2009
Imtiaz Ali,2009
Ioana Popescu,2009
Jake Leslie Melville,2009
Jake Seid,2009
James Wanjohi,2009
Jason Yat-Sen Li,2009
Javier Garcia-Martin,2009
Javier Santiso,2009
Jens Martin Skibsted,2009
Jeong Jaeseung,2009
Jeremy Hockenstein,2009
Jia Ping,2009
Jimena Bl†zquez Abascal,2009
Jo Cox,2009
John McArthur,2009
Jonathan Harris,2009
Josh Spear,2009
Julie Gichuru,2009
Julien Faye,2009
Kamal Quadir,2009
Karen Bell,2009
Kasim M. Kasuri,2009
Kelly Chen,2009
Khuat Thi Hai Oanh,2009
Kingsley Bangwell,2009
Kirill Dmitriev,2009
Klaus Schweinsberg,2009
Kristin Rechberger,2009
Ksenia Yudaeva,2009
Laila Lalami,2009
Lee Huei-Min,2009
Li Ruigang,2009
Lisa Huddleson,2009
Liu Zhouwei,2009
Luke Dowdney,2009
Malini Mehra,2009
Marco Fiorese,2009
Maria Lisitsyna,2009
Marianne Knut,2009
Marie So,2009
Marisol Argueta de Barillas,2009
Mark Hanis,2009
Mark Zuckerberg,2009
Matias De Tezanos,2009
Michael Cannon-Brookes,2009
Michele Wucker,2009
Mina Al-Oraibi,2009
Mirjam Staub-Bisang,2009
Monica Regazzi,2009
Monisha Shah,2009
Mubarak A. Al Saba,2009
Nami Matsuko,2009
Natalia Alle,2009
Navin Chaddha,2009
Neil Chugani,2009
Nia Dinata,2009
Nik Kafka,2009
Omar Ghobash,2009
Orzala Ashraf Nemat,2009
Parag Khanna,2009
Pascale Bruderer-Wyss,2009
Patrick McWhinney,2009
Paul Bassat,2009
Peggy Liu,2009
Peter B. Kellner,2009
Philipp Freise,2009
Pooja Jain,2009
Premal Shah,2009
Reuben Abraham,2009
Richard Powel,2009
Roberto Bolle,2009
Ronit Avni,2009
Roy Sosa,2009
Salimah Yvette Ebrahim,2009
Salvador Paiz,2009
Samantha Nutt,2009
Samer I. Asfour,2009
Sandro JosÇ De Souza,2009
Sanjeev Khagram,2009
Scott Weber,2009
Selene Biffi,2009
Seraina Maag,2009
Shahzad A. Bhatti,2009
Shalini Mahtani,2009
Shen Wei,2009
Siddhartha Lal,2009
Silverius O. Unggul,2009
StÇphane Bancel,2009
Steven Everts,2009
Suranga Chandratillake,2009
Tan Le,2009
Teresa K. Kennedy,2009
Tewodros Ashenafi,2009
Toru Hashimoto,2009
Verena Knaus,2009
Vinny Lingha,2009
Vuyo Jack,2009
Wen Bo,2009
Werner Wutscher,2009
Yael Maguire,2009
Yair Goldfinger,2009
Yasar Jarrar,2009
Yenny Zannuba,2009
Yuri Soloviev,2009
Zarrar Sehgal,2009
Abebe Gellaw,2010
Agatha Sangma,2010
Alaa Batayneh,2010
Alain de Botton,2010
Alejandro Poma,2010
Alfredo A. Capote,2010
Amir Jahangir,2010
Anand Chandrasekaran,2010
Anna Netrebko,2010
Anthony Stevens,2010
Anu Bradford,2010
Apimongkol Sonakul,2010
Ashok Aram,2010
Ashok Giri Durgesh,2010
Azeem Ibrahim,2010
Benjamin Goldsmith,2010
Benjamin Soemartopo,2010
Calvin Chin,2010
Carlos BarrabÇs,2010
Carme Chac¢n Piqueras,2010
Cenk Aydin,2010
Chen Lu,2010
Christina K. Lopes,2010
Christopher Deri,2010
Crown Princess Mette-Marit of Norway,2010
Daisuke Iwase,2010
Daniel Edwards,2010
Daniel Koh,2010
Dashdorj Zorigt,2010
David Rosenberg,2010
Davide Serra,2010
DÇsirÇe McGraw,2010
Dirk Hoke,2010
Elikem Kuenyehia,2010
Elisabeth Gilbert,2010
Elissa Goldberg,2010
Elspeth Finch,2010
Eric Kacou,2010
Esteban Bullrich,2010
Esteban Piedrahita,2010
Eva Dichand,2010
Evan Williams,2010
Farida Nekzad,2010
Fatmir Besimi,2010
Felicitas von Peter,2010
Felipe Aldunate,2010
Frankin Cudjoe,2010
Gabrielle Giffords,2010
George Hu,2010
Gila Gamliel,2010
Gladys Kalema-Zikusoka,2010
Gregor Hackmack,2010
Gugu Msibi,2010
Hamid Yar,2010
Heather Fleming,2010
Henry Hoang Nguyen,2010
Hicham El Guerrou,2010
Hidetoshi Nakata,2010
Ian Thorpe,2010
Irena Jolic-Simovic,2010
Irene Tinagli,2010
Ismail Douiri,2010
Ivonne Aracelly Ortega Pacheco,2010
Jacob Hsu,2010
Jacob Lief,2010
James Gifford,2010
James Law,2010
Jan Bayer,2010
Jayne Plunkett,2010
Jennifer Woo,2010
